,Branch,Price Rupiah,Diameter,Topping,Variant,Size,Extra Sauce,Extra Cheese,Extra Mushrooms
77,Bengaluru,54000.0,12.0,Tuna,Neptune Tuna,Medium,Yes,Yes,No
78,Bengaluru,92000.0,14.0,Tuna,Neptune Tuna,Large,Yes,Yes,No
79,Hyderabad,140000.0,18.5,Mozzarella,Meat Lovers,Jumbo,No,Yes,No
80,Hyderabad,110000.0,16.0,Smoked Beef,Meat Lovers,Jumbo,No,Yes,No
81,Hyderabad,70000.0,8.0,Chicken,Meat Lovers,Reguler,Yes,Yes,No
82,Hyderabad,90000.0,12.0,Mushrooms,Meat Lovers,Reguler,Yes,Yes,No
83,Hyderabad,90000.0,12.0,Mozzarella,Meat Lovers,Reguler,Yes,Yes,No
84,Hyderabad,230000.0,22.0,Chicken,Double Mix,Jumbo,Yes,Yes,Yes
85,Hyderabad,188000.0,18.5,Mushrooms,Double Mix,Jumbo,Yes,Yes,Yes
86,Hyderabad,114000.0,14.0,Chicken,Double Mix,Reguler,Yes,Yes,Yes
87,Hyderabad,149000.0,16.5,Smoked Beef,Double Mix,Reguler,Yes,No,Yes
88,Hyderabad,149000.0,16.5,Chicken,Double Mix,Reguler,Yes,No,Yes
89,Hyderabad,23500.0,8.5,Mozzarella,Classic,Small,Yes,No,Yes
90,Hyderabad,46000.0,12.0,Chicken,Classic,Medium,Yes,No,Yes
91,Hyderabad,72000.0,14.0,Smoked Beef,Classic,Large,Yes,No,Yes
92,Hyderabad,49000.0,12.0,Mozzarella,Crunchy,Medium,No,No,Yes
93,Hyderabad,83000.0,17.0,Chicken,New York,Xl,No,Yes,Yes
94,Hyderabad,96000.0,12.0,Chicken,Double Decker,Medium,No,Yes,No
95,Hyderabad,31000.0,8.5,Mushrooms,Classic,Small,Yes,Yes,No
96,Hyderabad,69000.0,12.0,Chicken,Classic,Medium,No,Yes,No
97,Hyderabad,93000.0,14.0,Mushrooms,Classic,Large,No,Yes,No
98,Hyderabad,75000.0,12.0,Mushrooms,Crunchy,Medium,No,Yes,Yes
99,Calcutta,115000.0,17.0,Mozzarella,New York,Xl,No,Yes,Yes
100,Calcutta,23500.0,8.5,Mozzarella,Classic,Small,Yes,No,Yes
101,Calcutta,46000.0,12.0,Chicken,Classic,Medium,Yes,No,Yes
102,Calcutta,72000.0,14.0,Smoked Beef,Classic,Large,Yes,No,No
103,Calcutta,49000.0,12.0,Mozzarella,Crunchy,Medium,No,No,No
104,Calcutta,83000.0,17.0,Chicken,New York,Xl,No,Yes,No
105,Calcutta,96000.0,12.0,Chicken,Double Decker,Medium,No,Yes,No
106,Calcutta,31000.0,8.5,Mushrooms,Classic,Small,Yes,Yes,No
107,Calcutta,69000.0,12.0,Chicken,Classic,Medium,No,Yes,Yes
108,Calcutta,93000.0,14.0,Mushrooms,Classic,Large,No,Yes,Yes
109,Calcutta,75000.0,12.0,Mushrooms,Crunchy,Medium,No,Yes,Yes
110,Calcutta,115000.0,17.0,Mozzarella,New York,Xl,No,Yes,Yes
111,Calcutta,123000.0,12.0,Smoked Beef,Double Decker,Medium,Yes,Yes,Yes
112,Calcutta,33000.0,8.5,Chicken,Classic,Small,No,Yes,Yes
113,Calcutta,46000.0,12.0,Mozzarella,Classic,Medium,Yes,Yes,Yes
114,Calcutta,72000.0,14.0,Chicken,Classic,Large,Yes,Yes,Yes
115,Calcutta,76000.0,12.0,Chicken,Crunchy,Medium,No,No,Yes
116,Calcutta,119000.0,17.0,Mushrooms,New York,Xl,Yes,No,No
117,Calcutta,126500.0,12.0,Smoked Beef,Double Decker,Medium,Yes,No,No
118,Calcutta,75000.0,8.5,Smoked Beef,Classic,Small,Yes,Yes,No
119,Calcutta,46000.0,12.0,Mushrooms,Classic,Medium,Yes,Yes,No
120,Calcutta,72000.0,14.0,Mozzarella,Classic,Large,Yes,Yes,No
121,Calcutta,49000.0,12.0,Smoked Beef,Crunchy,Medium,No,Yes,No
122,Calcutta,83000.0,17.0,Chicken,New York,Xl,No,Yes,No
123,Calcutta,96000.0,12.0,Mushrooms,Double Decker,Medium,No,Yes,Yes
124,Calcutta,39000.0,8.5,Tuna,Spicy Tuna,Small,Yes,Yes,Yes
125,Calcutta,72000.0,12.0,Tuna,Spicy Tuna,Medium,Yes,Yes,Yes
126,Calcutta,99000.0,14.0,Tuna,Spicy Tuna,Large,Yes,Yes,Yes
127,Calcutta,44000.0,8.5,Meat,Bbq Meat Fiesta,Small,Yes,No,Yes
128,Calcutta,78000.0,12.0,Meat,Bbq Meat Fiesta,Medium,No,No,Yes
